v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81,v82,v83,v84,v85,v86,v87,v88,v89,v90,v91,v99,v100,v101,v102,v103,v104,v105,v106,v107,v115,v116,v117,v118,v120,v121,v122,v123,v125,v126,v127,v128,v129,v130,Alder,alderinterval,recodetalder
2,4,5,2,3,1,1,5,1,2,1,2,2,1,3,4,1,2,2,1,3,1,5,2,1,2,11,11,11,11,11,11,11,101,101,11,11,11,11,11,11,8,1,7,7,7,7,7,7,4,8,2,2,2,11,11,11,11,11,11,11,11,1,2,2,5,1,6,5,10,1,10001,2,2,11,1,1,1,7,1,9,2,101,17,1,48,1,11,2,10001,11,11,101,11,11,1001,1,1,4,6,1,1,1,8,2,101,3,3,,11,6
1,1,5,5,5,1,1,5,1,1,1,2,1,1,5,5,5,4,1,1,1,4,5,3,5,1,4,5,1,3,2,3,3,14,16,3,4,1,3,2,3,5,1,5,5,4,4,4,4,3,3,1,2,1,1,1,1,1,2,2,2,2,1,5,5,5,5,8,4,8,1,1944,1,11,1,2,1,1,1,1,4,2,12,1,11,45,1,3,11,10001,4,7,3,11,3,20,1,1,5,4,1,1,1,8,2,101,6,9,58,5,4
5,2,2,5,3,1,3,3,2,1,1,3,2,2,5,5,1,1,1,1,4,1,5,1,1,1,3,5,3,5,5,6,5,2,20,3,1,4,2,4,1,1,4,1,5,1,2,4,2,3,4,2,1,1,1,1,7,7,1,3,7,7,1,2,2,4,5,10,10,10,1,1960,1,11,1,4,1,3,5,1,1,1,101,1,11,40,1,3,11,10001,6,5,16,1,3,37,3,1,7,4,1,1,1,2,2,101,9,13,42,4,3
1,8,3,1,1,1,3,5,3,3,8,8,8,8,5,5,5,8,1,1,1,8,5,1,2,1,4,3,3,3,3,3,3,5,5,3,5,7,4,4,5,3,1,8,3,4,4,4,4,3,5,1,1,2,11,11,11,11,11,11,11,11,8,2,3,3,3,9,8,10,1,1973,5,1,11,2,1,1,5,1,1,3,12,1,11,30,2,3,11,10001,5,8,1,11,3,37,1,1,6,5,1,1,1,8,2,101,3,6,29,2,2
1,3,3,2,1,3,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,1,4,1,3,2,6,1,3,6,2,21,70,1,1,3,3,3,5,4,1,3,5,3,4,4,4,5,1,6,1,1,1,2,2,2,1,1,1,1,8,2,2,1,8,10,0,10,2,1945,1,11,1,2,1,1,4,1,7,2,17,5,11,888,2,2,11,10001,5,8,15,1,2,40,1,1,5,3,1,1,1,13,2,101,3,8,57,5,4
3,2,3,3,3,1,3,2,3,2,1,3,8,1,8,8,8,3,3,3,8,3,5,1,5,2,11,11,11,11,11,11,11,101,101,11,11,11,11,11,11,2,1,7,7,7,7,7,7,2,8,2,2,2,11,11,11,11,11,11,11,11,1,4,3,5,3,10,10,10,2,10001,5,2,11,1,1,1,1,11,7,11,12,15,1,40,1,1,11,10001,11,11,101,11,11,1001,2,1,2,3,1,1,1,7,2,101,4,4,,11,6
1,5,5,3,3,1,1,5,3,3,1,2,1,1,3,5,2,1,1,3,2,1,5,1,3,2,11,11,11,11,11,11,11,101,101,11,11,11,11,11,11,3,1,7,7,7,7,7,7,3,8,3,1,1,1,2,1,1,1,1,1,1,1,3,3,3,3,10,10,10,2,1935,3,2,11,1,1,1,4,1,1,1,10,15,1,37,2,3,11,10001,11,11,101,11,11,1001,2,6,5,6,1,1,1,10,1,10,2,1,67,6,5
1,2,4,5,4,4,1,5,2,2,1,2,2,1,5,5,5,4,1,1,5,1,4,2,2,1,4,1,3,8,3,3,3,14,7,2,1,7,1,1,5,2,1,7,7,7,7,7,7,3,8,1,1,2,11,11,11,11,11,11,11,11,1,1,2,2,2,10,7,10,2,1983,5,1,11,2,1,1,3,2,1,3,13,12,1,37,2,3,11,10001,5,11,9,11,3,37,1,1,8,6,1,1,3,101,2,101,2,5,19,1,1
3,3,3,3,3,3,3,3,3,3,1,8,8,1,3,5,1,3,1,1,1,3,5,2,2,1,2,1,3,3,1,6,1,19,2,3,5,4,4,4,6,5,1,7,7,7,7,7,7,3,8,2,2,1,3,3,3,3,1,1,1,1,1,3,5,3,3,10,10,10,2,1934,1,11,1,2,1,1,4,1,1,1,10,15,1,40,2,3,11,10001,7,8,15,1,1,888,3,1,8,6,1,1,1,8,1,8,2,8,68,6,5
8,8,8,8,8,8,1,4,2,4,1,2,1,1,1,2,1,4,2,2,8,2,5,1,1,2,11,11,11,11,11,11,11,101,101,11,11,11,11,11,11,11,1,7,7,7,7,7,7,1,8,1,2,2,11,11,11,11,11,11,11,11,11,11,11,11,11,10,88,10,2,1927,1,11,2,1,1,1,4,1,11,2,101,15,1,8,1,1,11,10001,2,9,15,1,11,1001,3,1,8,1,1,1,1,1,8,101,5,6,75,7,5
