s1_1,s1_2,s1_3,s1_4,s1_5,s1_6,s2,s2b,s3_1,s3_2,s4_1,s4_2,s4_3,s4_4,s5_1,s5_2,s5_3,s5_4,s6,s7_1,s7_2,s7_3,s7_4,s7_5,s8,s8b,s9,s10a,s10b,s11,s12,s13,s14,bvq_14,bvq_34a,s15a,s15b,s16a,s16b,d17,s18_1,s18_2,s18_3,s18_4,s18_5,s18_6,s19,s20_1,s20_2,s20_3,s20_4,s21,s22a,s22b,s23,s24,s25,s26,s27_1,s27_2,s27_3,s28a,s28b,s29,s30a,s30b,s31_1,s31_2,s32_1,s32_2,s32_3,s32_4,s32_5,s32_6,s32_7,s32_8,s33_1,s33_2,s33_3,s33_4,s34_1,s34_2,s34_3,s34_4,s34_5,s34_6,bvq_01,bvq_02_3,bvq_03,bvq_04_1,bvq_04_1_oth,bvq_04_2,bvq_04_2_oth,bvq_05_1,bvq_05_2,bvq_07,bvq_08,bvq_09,bvq_10,bvq_15_1,bvq_15_2,bvq_16,bvq_17,bvq_18,bvq_21,bvq_22,bvq_22_oth,bvq_23,bvq_24,bvq_25,bvq_26,bvq_26_oth,bvq_28,bvq_29,bvq_30,bvq_31,bvq_32,bvq_33,bvq_37,bvq_dk1_1,bvq_dk1_2,bvq_dk1_3,bvq_dk1_4,GI
1,5,5,5,5,5,3,3,1,1,4,5,5,1,1,1,1,1,3,3,3,3,3,3,1,6,2,3,6,2,1,2,2,3,5,20,15,,,,,,,,,,,8,8,8,8,2,1,7,5,1,1,3,3,3,3,2,4,2,,1,,3,4,3,1,4,1,5,5,3,4,4,5,4,3,5,5,5,2,5,2,1949,14,8,Seminariet,4,,11,1,1,1,14,,,,,,,1,2,,88,6,1,1,,1,0,0,1,7000,,1,0,0,1,0,0.755398463961247
2,2,2,3,1,5,3,3,2,2,5,3,5,1,1,1,1,1,3,3,3,3,3,3,1,24,2,4,3,1,1,8,8,1,1,21,7,21,15,4,3,3,3,3,3,3,3,1,1,1,1,2,1,1,1,4,4,2,3,3,3,3,4,4,3,,2,,3,3,1,3,1,5,5,8,3,3,1,3,3,5,3,5,2,5,2,1976,18,4,,7,,1,,2,2,,2,1,,37,2,2,1,2,,8,5,1,13,,3,3,0,6,66000,120000,1,0,1,0,0,0.697290089651345
3,3,3,4,4,5,3,3,2,1,3,2,4,1,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5,5,2,1,5,3,2,2,1,3,8,1,1,1,,1,2,3,3,2,3,3,,1,10,2,2,6,2,8,1,8,1,1,8,0,4,0,3,,1,1,3,2,3,1,8,8,8,8,2,3,4,3,4,1,3,3,4,3,5,3,3,,1,,3,2,5,1,2,2,4,1,3,3,,3,4,5,5,5,5,8,4,2,1942,64,8,Realeksamen,6,,11,1,1,1,16,,11,1,,2,1,2,2,,6,2,1,1,,2,0,0,2,26000,34000,1,0,0,1,0,0.414134417991036
1,5,5,3,2,3,1,3,2,2,3,3,3,3,2,2,3,3,2,3,3,3,3,3,1,24,3,3,8,2,2,2,2,3,4,5,6,,,,,,,,,,,2,3,8,8,2,4,5,5,88,8,5,3,3,3,2,4,2,,1,,3,2,2,2,4,3,3,3,3,3,4,4,4,4,4,4,4,2,4,2,,13,3,,1,,1,,1,2,,,,,,,,1,2,,5,7,1,14,xx,1,0,0,1,8888888888,,3,1,0,0,0,0.922982255746289
1,5,5,5,8,5,3,3,2,1,4,8,5,1,2,2,1,1,2,3,3,3,3,3,1,12,8,8,8,8,1,2,2,2,1,3,7,,,,1,1,1,1,1,1,,8,8,8,8,8,8,7,8,1,1,5,3,3,3,2,4,2,,1,,3,5,2,1,4,4,5,3,3,3,3,3,3,5,5,4,5,4,4,2,,13,3,,4,,11,1,2,2,,1,11,1,,1,2,1,1,,7,6,1,1,,1,0,0,1,8888888888,,3,1,0,0,0,0.883561517443937
1,4,4,5,3,5,1,2,2,1,3,3,4,2,2,2,2,2,2,3,2,3,3,3,1,6,2,8,4,4,3,4,1,1,1,6,0,4,0,3,4,3,5,3,2,3,3,8,8,8,8,2,2,4,2,4,3,3,8,8,3,5,3,3,3,,3,,2,5,1,1,1,8,1,3,3,3,3,4,5,5,4,4,4,3,1,1949,9,4,,7,,11,1,2,1,,1,11,1,,1,2,3,2,,8,4,1,3,,2,0,0,2,30000,50000,2,1,0,0,0,0.446229995115414
4,3,5,2,8,5,3,2,1,1,2,3,5,1,2,2,2,2,2,3,3,3,3,3,1,6,2,3,8,4,1,4,1,1,1,12,0,10,0,3,4,3,3,3,3,2,3,2,3,3,3,2,4,6,2,5,4,3,3,3,3,4,3,0,2,,2,,3,3,1,2,4,5,3,5,1,1,1,3,4,3,3,5,3,5,1,1962,15,3,,3,,1,,2,2,,1,1,,42,2,2,1,1,,7,5,1,11,,2,0,0,2,52000,98000,3,0,0,1,0,0.839243947773813
1,5,5,5,2,5,3,2,2,1,2,3,2,1,2,2,1,1,2,3,3,3,3,3,1,12,2,2,8,1,1,2,2,1,1,8,0,6,0,3,4,4,4,2,2,2,3,8,,,,2,2,1,1,3,4,2,1,3,3,5,3,4,2,,5,,5,1,1,2,1,5,2,3,3,4,4,,3,5,5,5,3,2,1,1949,14,4,,10,,11,1,2,1,200,2,11,1,,1,1,2,1,,8,3,3,,,2,0,0,2,25000,55000,3,1,0,0,0,0.860536746782071
1,5,5,5,8,5,3,3,1,1,3,2,5,1,2,2,1,1,2,3,3,3,3,3,1,12,3,3,8,2,2,2,2,1,6,3,0,6,0,4,4,5,3,4,4,4,4,1,2,3,3,3,2,5,3,1,1,2,3,3,3,5,2,0,3,,2,,4,3,1,4,1,5,4,5,2,3,1,5,2,3,4,5,3,3,1,1995,18,4,,7,,1,,2,2,,1,8,2,,,,1,2,,7,6,1,1,,2,0,0,2,36000,46000,1,0,1,0,0,1.18699525906344
